,movie_runtime,log_revenues,Revenue_with_inflation,Interval
2467,175.0,19.82179547140745,405972293.0050853,120-180
2468,98.0,16.794942298798734,19676632.040682413,60-120
2469,40.0,17.179682339185888,28909543.953937005,0-60
2470,101.0,17.43710684311309,37397216.822801836,60-120
2471,110.0,17.93466707128437,61507339.75616797,60-120
2472,101.0,18.737952554996575,137337581.99124014,60-120
2473,131.0,20.370907426343482,703028104.0894356,120-180
2474,95.0,16.8572113361176,20940828.668963253,60-120
2475,119.0,13.79904410278871,983668.3758202099,60-120
2476,103.0,19.115498592157973,200334412.79767057,60-120
2477,97.0,17.87292177942761,57824422.524606295,60-120
2478,123.0,17.93535334992891,61549565.417552486,120-180
2479,93.0,15.7172580589152,6697588.263681102,60-120
2480,95.0,17.726092893579914,49928018.37270341,60-120
2481,106.0,13.276745614840753,583468.4242454068,60-120
2482,95.0,16.659269927401212,17180231.12204724,60-120
2483,109.0,12.993089336081937,439366.56167979,60-120
2484,78.0,11.668192642204612,116796.99744094488,60-120
2485,140.0,20.340784154330297,682166386.3655839,120-180
2486,89.0,20.00586162330341,488017402.13943565,60-120
2487,103.0,19.398940541273987,265982358.00951442,60-120
2488,122.0,18.887900193106624,159555150.74294618,120-180
2489,111.0,19.12370801964869,201985812.88343555,60-120
2490,225.0,21.294892497188204,1771145761.8503065,180-240
2491,121.0,18.872393591367782,157100076.68711653,120-180
2492,151.0,21.02155446726328,1347550675.7329752,120-180
2493,124.0,18.495099360226316,107725766.87116562,120-180
2494,100.0,19.121865233872587,201613939.04762265,60-120
2495,105.0,18.872393591367782,157100076.68711653,60-120
2496,102.0,17.711646655654494,49211931.17668711,60-120
2497,96.0,17.747582667340385,51012571.85851226,60-120
2498,126.0,17.27714031392564,31868872.699386496,120-180
2499,91.0,19.56554077192773,314200153.37423307,60-120
2500,99.0,19.67375435656796,350108742.3312883,60-120
2501,116.0,19.123699597391,201984111.7140337,60-120
2502,113.0,17.981728834275366,64471178.328220844,60-120
2503,97.0,18.146022678621698,75983189.16771472,60-120
2504,92.0,17.661958618803055,46826442.81794478,60-120
2505,126.0,18.803009980286753,146569456.56096622,120-180
2506,111.0,16.948440609664512,22941099.769938648,60-120
2507,98.0,17.28911314145228,32252726.53819018,60-120
2508,128.0,19.32437871511084,246871549.07975456,120-180
2509,101.0,19.71936827300775,366448398.13021463,60-120
2510,112.0,17.308362848312086,32879596.24133435,60-120
2511,87.0,14.749649554623986,2545021.242331288,60-120
2512,116.0,20.65890299834353,937664716.8447851,60-120
2513,128.0,17.927115322620377,61044601.22699385,120-180
2514,112.0,18.331524481253215,91470262.85046011,60-120
2515,87.0,16.127975746094698,10099290.644171778,60-120
2516,156.0,17.619630622872414,44885736.196319014,120-180
2517,99.0,19.220618312528398,222540198.9140337,60-120
2518,183.0,19.229068535306517,224428680.98159504,180-240
2519,109.0,20.270051711137988,635582024.5398772,60-120
2520,107.0,18.59488266461456,119029588.68903372,60-120
2521,113.0,19.229068535306517,224428680.98159504,60-120
2522,92.0,17.108804999106425,26931441.717791405,60-120
2523,92.0,18.6571314712472,126674513.81226991,60-120
2524,98.0,19.418436193256603,271218734.9332055,60-120
2525,115.0,18.53378038450452,111974349.92507666,60-120
2526,85.0,19.10947935956066,199132175.27331284,60-120
2527,125.0,18.495099360226316,107725766.87116562,120-180
2528,104.0,15.98214399743787,8728848.323773004,60-120
2529,93.0,16.55447699781955,15470986.634892635,60-120
2530,95.0,18.684341359864845,130168634.96932513,60-120
2531,103.0,19.07623364611363,192620722.71480057,60-120
2532,120.0,16.821122926654645,20198581.288343556,60-120
2533,90.0,18.223946589725745,82140897.23926379,60-120
2534,110.0,17.072550336207247,25972538.758282203,60-120
2535,100.0,18.26148450904481,85282898.77300613,60-120
2536,108.0,17.32333435454144,33375556.694861956,60-120
2537,140.0,17.995329341861037,65354008.94202453,120-180
2538,103.0,18.31277780343236,89771472.39263803,60-120
2539,82.0,14.400754798004215,1795429.4478527603,60-120
2540,135.0,18.73383472500637,136773211.9647239,120-180
2541,96.0,16.38794332030506,13097649.181905678,60-120
2542,91.0,18.347004100319353,92897203.43022135,60-120
2543,102.0,16.680131033547116,17542394.17410972,60-120
2544,142.0,18.397824173790593,97740266.24258901,120-180
2545,100.0,16.763663889927358,19070703.93152069,60-120
2546,110.0,15.449939524509002,5126529.741049085,60-120
2547,115.0,18.20951753563375,80964191.58017324,60-120
2548,105.0,18.499133560299477,108161231.95380172,60-120
2549,108.0,18.209132481585545,80933021.99181904,60-120
2550,81.0,15.911025520596514,8129626.34624639,60-120
2551,100.0,17.714045372062,49330118.33551491,60-120
2552,96.0,16.29060336146223,11882809.828248315,60-120
2553,140.0,18.282663330780707,87108352.32868141,120-180
2554,127.0,18.10642737393379,73033395.99860442,120-180
2555,111.0,15.189661816641072,3951721.310009624,60-120
2556,99.0,17.348007578254553,34209282.326227136,60-120
2557,107.0,19.212532613634966,220748060.98171315,60-120
2558,105.0,17.66022520970112,46745343.744995184,60-120
2559,105.0,17.03879800364241,25110534.158373434,60-120
2560,91.0,15.871162003725066,7811925.260972087,60-120
2561,93.0,17.259264219949596,31304243.454571698,60-120
2562,130.0,17.00440242892101,24261527.638209812,120-180
2563,90.0,16.178889556231834,10626798.788979787,60-120
2564,93.0,18.01596139691832,66716402.61487006,60-120
2565,120.0,15.226112928686048,4098423.430943214,60-120
2566,120.0,16.773308268686616,19255518.80322425,60-120
2567,87.0,11.337896327076926,83943.2561116458,60-120
2568,116.0,18.549922147916906,113796480.02247351,60-120
2569,269.0,16.522832822539154,14989084.925312798,240-1000
2570,118.0,20.659540673946992,938262833.4408565,60-120
2571,90.0,15.741433450553446,6861478.152069297,60-120
2572,95.0,17.51961747248658,40613759.55640038,60-120
2573,103.0,16.675625392756842,17463532.242540903,60-120
2574,90.0,17.69015456421441,48165548.60442733,60-120
2575,98.0,14.71957122473719,2469611.0454764194,60-120
2576,113.0,17.369917884938904,34967089.77430221,60-120
2577,94.0,17.20530442685168,29659837.824831564,60-120
2578,97.0,18.496525996892395,107879562.07892202,60-120
2579,113.0,17.27613401509963,31836819.220596723,60-120
2580,98.0,18.023253615950438,67204691.42646775,60-120
2581,116.0,16.604329121632684,16261796.171462944,60-120
2582,145.0,15.63131203026208,6146000.052791145,120-180
2583,87.0,16.539504844708762,15241078.062175166,60-120
2584,107.0,13.033161550000882,457330.4756496631,60-120
2585,94.0,17.85471741517677,56781289.27083734,60-120
2586,84.0,17.15414277771964,28180555.525842153,60-120
2587,90.0,16.966115937111674,23350196.024831567,60-120
2588,102.0,16.45933211497334,14066858.321174204,60-120
2589,99.0,15.516676323906434,5480332.454186717,60-120
2590,95.0,19.24797772709101,228712823.13349372,60-120
2591,115.0,18.07269711409364,70611043.52473532,60-120
2592,101.0,17.12515883322713,27375495.13955726,60-120
2593,108.0,16.650416263730303,17028794.50755534,60-120
2594,164.0,18.15383903712507,76579428.18782482,120-180
2595,96.0,17.72464074028558,49855567.85370548,60-120
2596,138.0,18.72127617334207,135066279.25163618,120-180
2597,95.0,18.116325114066676,73759850.77290663,60-120
2598,89.0,16.17000287598903,10532780.201443695,60-120
2599,95.0,16.33025360785574,12363431.58585178,60-120
2600,92.0,18.121403725398896,74135401.21708372,60-120
2601,94.0,17.809381754757595,54264552.0385948,60-120
2602,111.0,19.07634624462422,192642412.7423965,60-120
2603,97.0,17.02504933743113,24767660.236381132,60-120
2604,107.0,18.16659743161509,77562718.00413859,60-120
2605,98.0,12.945587866149397,418983.9388835418,60-120
2606,109.0,16.488685056773246,14485881.69384023,60-120
2607,93.0,16.34708570687089,12573295.35952839,60-120
2608,105.0,17.192881906853124,29293666.987487964,60-120
2609,112.0,15.915786837698224,8168426.371511067,60-120
2610,103.0,15.252387259768161,4207533.89037536,60-120
2611,108.0,18.186065052152454,79087473.08772857,60-120
2612,90.0,18.952065205646566,170128604.42733395,60-120
2613,94.0,17.56584574238401,42535336.79311838,60-120
2614,85.0,15.763944984730651,7017692.264677574,60-120
2615,115.0,18.725263875955715,135605958.73190567,60-120
2616,106.0,19.312055287511072,243847914.45514914,60-120
2617,103.0,16.266053881031276,11594644.646053897,60-120
2618,93.0,18.44572904763008,102536464.82117419,60-120
2619,128.0,16.73084446312761,18454973.585033685,120-180
2620,82.0,16.406311649404955,13340454.247449469,60-120
2621,59.0,18.81758729141801,148721693.93647736,0-60
2622,109.0,14.909312932843644,2985604.9059672756,60-120
2623,90.0,17.423842899119293,36904457.42420596,60-120
2624,139.0,17.511086516034272,40268759.026852734,120-180
2625,180.0,18.80180101165289,146392365.755486,120-180
2626,111.0,17.91611617615095,60376841.840760335,60-120
2627,94.0,17.712623282306122,49260016.337054856,60-120
